agency,pre_2014_annual_notifications,post_2014_annual_notifications,source_citation
UPPSC & UPSSSC (Uttar Pradesh),20,42,UPPSC Annual Reports (2004-2023) & UPSSSC Official Recruitment Notifications
MPPSC & MPESB/Vyapam (Madhya Pradesh),18,38,MPPSC Annual Reports & MPESB Annual Exam Calendars
RPSC & RSMSSB (Rajasthan),16,35,RPSC Annual Reports & RSMSSB Jaipur Annual Activity Statements
GPSC & GSSSB (Gujarat),15,30,GPSC Annual Performance Reports & GSSSB Notifications
"BPSC, BSSC & BPSSC (Bihar)",14,26,Bihar Public Service Commission Annual Reports & BSSC Gazettes
MPSC & State Selection (Maharashtra),14,26,Maharashtra Public Service Commission Annual Reports
HPSC & HSSC (Haryana),14,26,Haryana Staff Selection Commission Annual Reports
Other State PSCs & Boards (21 States/UTs),12,22,Respective State Public Service Commission Annual Parliamentary Reports
